PRKCZ	SKI
CDK8	RPL7L1
CCNB1IP1	PVT1
MYH7	PVT1
FOXG1	NPAS3
NPAS3	OXA1L
IGBP1P1	SEC23A
MTHFD1	SYNE2
DPF3	SASH1
SORD	SPG11
NEDD4	RDH10
CYP1A2	SPG21
NTRK3	NTRK3
MSLN	WDR90
CREBBP	RHBDF1
CREBBP	SLX4
NTAN1	SLC17A5
CCP110	GOLPH3L
LCMT1	POM121L4P
KATNIP	LSM1
ANKRD26P1	SLC4A10
FTO	HERPUD1
CDH13	KRAS
JPH3	OSGIN1
YWHAE	NUTM2B
YWHAE	NUTM2A
PIGL	RABEP1
MPRIP	TP53
ATPAF2	TTC19
ALKBH5	KIAA0100
AKAP10	PSMD11
MAP2K3	SSR3
ALDOC	MAN1A2
LHX1	SAMD8
IKZF3	NF1
COL1A1	USP6
COL1A1	PDGFB
MIR21	WDR53
RPS6KB1	VMP1
BCAS3	MAP3K3
GCGR	LRRC45
FOXK2	HEXDC
LAMA3	RIOK3
SS18	SSX1
SS18	SSX4B
SS18	SSX2
NOL4	PVT1
PIK3C3	TWSG1
BCL2	IGH
BCL2	BCL2
BCL2	IGL
MIER2	NMRK2
OAZ1	SF3A2
DNM2	ILF3
DNM2	KCNN1
CALR	H19
GIPC1	PKN1
UNC13A	ZNF492
GATAD2A	NFIX
ANKRD27	RHPN2
LSM14A	SIPA1L3
CD22	SIPA1L3
TBCB	UBE4B
ACTN4	IGF2BP2
AXL	MBIP
CIC	DUX4
CIC	FOXO4
BCL3	HIPK4
KLC3	PPP1R37
FTL	SFTPA2
CRLS1	KCNK17
MACROD2	MPHOSPH8
HM13	RLF
HM13	TPX2
BCL2L1	BMP8B
BCL2L1	PPT1
BCL2L1	RLF
BCL2L1	ZFP69B
BCL2L1	EXO5
BCL2L1	ZNF684
BCL2L1	RIMS3
BCL2L1	HM13
CEP250	DPM1
ADNP	DLGAP4
BCAS1	SLC12A8
PHACTR3	PTPRM
NRIP1	UBE2V2
ITSN1	MATN1
ITSN1	ZNF490
BRWD1	CEP112
PRODH	THAP7
CDC45	RIT2
MMP11	ZNF714
EWSR1	PBX1
EWSR1	CREB1
EWSR1	FEV
EWSR1	MYB
EWSR1	ETV1
EWSR1	NR4A3
EWSR1	FLI1
EWSR1	ATF1
EWSR1	DDIT3
EWSR1	ETV4
EWSR1	NFATC1
EWSR1	NFATC2
EWSR1	ERG
EWSR1	EWSR1
EWSR1	PATZ1
PISD	RBL1
MCM5	TRPM7
MCM5	TOM1
APOL3	ISX
TSPO	TTLL1
BCOR	EPC1
BCOR	ZC3H7B
MAOA	SPTLC3
EDA	MID1
ACSL4	DCAF6
ARAF
BRAF
EGFR
ERBB2
HRAS
JAK2
JAK3
KRAS
MAP2K1
MET
NF1
NRAS
PIK3CA
SOS1
TP53
