PCT of bases in wgs with coverage [1500x:inf), 0.01
PCT of bases in wgs with coverage [1000x:1500x), 0.00
PCT of bases in wgs with coverage [500x:1000x), 0.01
PCT of bases in wgs with coverage [100x:500x), 4.87
PCT of bases in wgs with coverage [50x:100x), 86.25
PCT of bases in wgs with coverage [20x:50x), 2.05
PCT of bases in wgs with coverage [15x:20x), 0.18
PCT of bases in wgs with coverage [10x:15x), 0.21
PCT of bases in wgs with coverage [3x:10x), 0.49
PCT of bases in wgs with coverage [1x:3x), 0.41
PCT of bases in wgs with coverage [0x:1x), 5.51
